"","beta.(Intercept)","beta.x1","beta.x2","beta.x3","beta.x1:x3"
"s1.wt.r",0.883,0.938,0.938,NA,NA
"s1.wt.f",0.948,0.955,0.947,0.952,0.938
"s1.wt.m1",0.852,0.939,0.949,0.607,0.919
"s1.wt.m2",0.781,0.93,0.943,0.027,0.803
"s2.wt.r",0.879,0.953,0.914,NA,NA
"s2.wt.f",0.943,0.955,0.942,0.943,0.943
"s2.wt.m1",0.851,0.94,0.939,0.606,0.91
"s2.wt.m2",0.765,0.935,0.935,0.041,0.817
"s1.cwt.i.r",0.946,0.957,0.958,0.949,0.938
"s1.cwt.i.f",0.933,0.954,0.955,0.951,0.94
"s1.cwt.i.m1",0.935,0.942,0.958,0.954,0.941
"s1.cwt.i.m2",0.933,0.942,0.956,0.954,0.947
"s1.cwts.r",0.947,0.962,0.953,0.948,0.937
"s1.cwts.f",0.944,0.957,0.946,0.955,0.955
"s1.cwts.m1",0.94,0.947,0.948,0.955,0.938
"s1.cwts.m2",0.941,0.949,0.947,0.951,0.938
